textbox19,textbox34,ID,textbox30,textbox10,Title,Location,Status,DateInitiated,Initiator,SAPNotificationNr
Unit: 05,[761],272693,1,HMDOB - HMD OIL BURNERS,CALLED OUT S/BY OIL BURNER TEAM FOR MILL 5C  OIL BURNERS FAILS TO IGNITE,03-05NM30 - MILL 5C,Submitted,2015-11-16 18:06,Daniel Mashego,23401069
Unit: 05,[761],272795,1,HMDM - HMD MILLS,GC CALLED OUT FOR C MILL REJECT BOX INNER DOORS NOT CLOSING ,03-05NM30 - MILL 5C,Submitted,2015-11-17 17:20,Present Vilakazi,23402454
Unit: 05,[761],273005,2,HMDBLR - HMD BOILER,MILL E PA DUCT LEAKING AT 26ML - TO BE FIXED.,03-05NM50 - MILL 5E,Cancelled,2015-11-19 19:59,ML Ramonedi,
Unit: 05,[761],273006,2,HMDBLR - HMD BOILER,MILL D PA DUCTING LEAKING AT 26ML - TO BE FIXED.,03-05NM40 - MILL 5D,Signed Off,2015-11-19 19:59,ML Ramonedi,23405558
Unit: 05,[761],272420,1,HMDM - HMD MILLS,U5 D MILL HYDRAULIC OIL TANK LEVEL LOW AND GC CONST NOTIFIED ON SITE,03-05NM40 - MILL 5D,Submitted,2015-11-13 01:14,Ndivhuwo Mbedzi,23397109
Unit: 05,[761],272686,1,EMF - EMD UNIT 4-6,MILL 5C HYDRAULIC PUMP FAILS TO START - EMD TO CHECK,03-05NM30 - MILL 5C,Submitted,2015-11-16 15:43,Daniel Mashego,23401006
Unit: 05,[761],272699,1,OPSPSRV - OPERATING SUPPORT SERVICES,CALLED OUT S/BY OPS SUPPORT TO CHANGE OIL BURNER LANCES F3 AND C4 - SAME FAILS TO IGNITE,03-05NM30 - MILL 5C,Submitted,2015-11-16 20:30,Daniel Mashego,23401123
Unit: 05,[761],272703,1,EMF - EMD UNIT 4-6,CALL OUT: S/BY EMD TO CHECK MILL C TEMPERING AIR DAMPER - FAILS TO DRIVE.,03-05NM30 - MILL 5C,Signed Off,2015-11-16 22:59,ML Ramonedi,23401172
Unit: 05,[761],272945,1,EMF - EMD UNIT 4-6,U5 C MILL PA DAMPER FAILS TO DRIVE AND EMD NOTIFIED ON SITE,03-05JF02C005 - MILL 5C PA DAMPER 05NM30S001,Submitted,2015-11-19 10:52,Ndivhuwo Mbedzi,23404930
Unit: 05,[761],273015,2,HMDBLR - HMD BOILER,MILL A PA DUCT LEAKING AT 26ML - TO BE FIXED.,03-05NM10 - MILL 5A,Signed Off,2015-11-19 21:49,ML Ramonedi,23405550
Unit: 05,[761],273097,2,CIB - C&I UNITS 4 - 6 SECT,"5D  MILL, 5E  MILL  AND  5F  MILL  COOLING  WTR  FLOW  INDICATIONS  ARE  VERY  VERY  DIRTY, ARE NEED",03-05NM40L002 - MILL 5D LEVEL GAUGE,Submitted,2015-11-20 19:05,Jerry Gumede,23407088
Unit: 05,[761],273827,1,HMDM - HMD MILLS,CALL OUT: GC TO TOP MILL E HYDRAULIC OIL TANK - LVL LOW.,03-05NM50 - MILL 5E,Submitted,2015-11-28 10:26,ML Ramonedi,23415972
Unit: 05,[761],273899,1,HMDM - HMD MILLS,GC TO REPLACE DRIVE PULLEY PINS ON F MILL.,03-05NM60 - MILL 5F,Submitted,2015-11-29 06:37,ML Ramonedi,23416377
Unit: 05,[761],273979,1,EMA - EMD ACTUATORS,CALL OUT:S/BY ACTUATOR TEAM TO ASSIST WITH E1 SEC AIR DAMPER - FAULTY.,03-05NM50 - MILL 5E,Signed Off,2015-11-30 06:30,ML Ramonedi,23417098
Unit: 05,[761],274010,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO CHECK MILL C TEMPERING AIR DAMPER - FAILS TO DRIVE.,03-05NM30 - MILL 5C,Submitted,2015-11-30 11:32,ML Ramonedi,23417538
Unit: 05,[761],274093,1,HMDM - HMD MILLS,GC TO TOP MILL E HYDRAULIC TANK - LVL LOW,03-05NM50 - MILL 5E,Submitted,2015-12-01 08:49,ML Ramonedi,23418490
Unit: 05,[761],272188,1,EMF - EMD UNIT 4-6,CALL OUT:S/BY EMD TO CHECK E1 SECONDARY AIR DAMPER - DIRECTION WRONG.,03-05NM50 - MILL 5E,Submitted,2015-11-10 22:59,ML Ramonedi,23394190
Unit: 05,[761],272190,1,CIB - C&I UNITS 4 - 6 SECT,CALL OUT: S/BY C&I TO STROKE E1 SECONDARY AIR DAMPER,03-05NM50 - MILL 5E,Submitted,2015-11-10 23:02,ML Ramonedi,23394204
Unit: 05,[761],272486,1,HMDM - HMD MILLS,MILL 5A REJECT LINE HOLED UNDERNEATH JET PULSION PIPE LINE - SAME LOOSES PRESSURE  AND MAKE REJECTIN,03-05NM10AA - MILL 5A REJECT SYSTEM,Submitted,2015-11-13 22:03,Daniel Mashego,23398515
Unit: 05,[761],272698,1,CIB - C&I UNITS 4 - 6 SECT,CALLED OUT S/BY C & I  FOR MILL 5C SGC START UP PROGRAMME STUCKED AT STEP 3 CRITERIA 2 AND 4,03-05NM30 - MILL 5C,Submitted,2015-11-16 20:26,Daniel Mashego,23401128
Unit: 05,[761],272834,1,HMDM - HMD MILLS,GC TO INVESTIGATE  PIECES OF CHAINS FROM MILL E REJECT BOX - SUSPECT CLEANOUT CONVEYOR,03-05NM50 - MILL 5E,Submitted,2015-11-18 05:43,ML Ramonedi,23402799
Unit: 05,[761],272968,2,HMDM - HMD MILLS,U5 E MILL REJECT LINE BLOCKED,03-05NM50AA - MILL 5E REJECT SYSTEM,Submitted,2015-11-19 14:08,Ndivhuwo Mbedzi,23405213
Unit: 05,[761],273033,1,HMDM - HMD MILLS,MILL 5E REJECTBOX LH INNER DOOR FAILS TO OPEN,03-05NM50 - MILL 5E,Submitted,2015-11-20 02:13,Daniel Mashego,23405673
Unit: 05,[761],273092,2,HMDM - HMD MILLS,5D  MILLROLLER  NO 2  PF  AND  ROW  COAL IS  LEAKING  VERY  VERY  BAD.,03-05NM40G508 - MILL D ROCKER ARM 2 HYD RAM ACCUM 2B,Submitted,2015-11-20 18:51,Jerry Gumede,23407111
Unit: 05,[761],273163,1,HMDM - HMD MILLS,U5 D MILL HAS PF LEAKS ON ROLLER NO.S 2 & 3. GC CONST NOTIFIED ON SITE,03-05NM40 - MILL 5D,Signed Off,2015-11-21 13:12,Ndivhuwo Mbedzi,23407635
Unit: 05,[761],273184,1,EMF - EMD UNIT 4-6,EMD TO CHECK MILL C PA  DAMPER ANALOGUE,03-05NM30 - MILL 5C,Submitted,2015-11-21 16:22,ML Ramonedi,23407817
Unit: 05,[761],273031,1,PERFTEST - PERFORMANCE AND TESTING,CALLED OUT S/BY CONDITION & MONITORING TO CHECK MILL 5C SEAL  AIR FAN MOTOR VIBRATIONS,03-05CC112B001 - MILL 5C SEAL AIR FAN 05NM30D006,Signed Off,2015-11-20 01:58,Daniel Mashego,23405666
Unit: 05,[761],273032,1,HMDM - HMD MILLS,MILL 5F REJECT LINE IS BLOCKED,03-05NM60AA - MILL 5F REJECT SYSTEM,Submitted,2015-11-20 02:10,Daniel Mashego,23405665
Unit: 05,[761],273362,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO STROKE CHECK E1 SECONDARY AIR DAMPER,03-05NM50 - MILL 5E,Submitted,2015-11-23 14:27,ML Ramonedi,23409937
Unit: 05,[761],273388,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO CHECK MILLS PA CONTROLS  AS PER PROCESS ENGINEERING,03-05NM50 - MILL 5E,Submitted,2015-11-23 19:19,ML Ramonedi,23410137
Unit: 05,[761],273671,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO CHECK C2 SEC AIR DAMPER - NOT DRIVING.,03-05NM30 - MILL 5C,Submitted,2015-11-26 14:40,ML Ramonedi,23414155
Unit: 05,[761],274123,2,HMDM - HMD MILLS,MILL E ROLLER NO 2&3 LEAKING PF BADLY.,03-05NM50 - MILL 5E,Submitted,2015-12-01 13:38,ML Ramonedi,23418995
Unit: 05,[761],274307,1,EMA - EMD ACTUATORS,E1 SECONDARY AIR DAMPER DRIVING PAST ITS MECHANICAL STOP AS PER C&I -EMD TO CHECK,03-05NM50 - MILL 5E,Submitted,2015-12-03 14:22,ML Ramonedi,23422134
Unit: 05,[761],274319,1,CIB - C&I UNITS 4 - 6 SECT,MILL 5D HYDRAULIC OIL PRESSURE DOESN'T GIVE A RELEASE ON THE START UP PROGRAMME C & I TO CHECK,03-05NM40P001 - MILL 5D HYDRAULIC OIL PRESSURE TX,Submitted,2015-12-03 15:23,Daniel Mashego,23422281
Unit: 05,[761],274375,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO DO MILL B PA BLOWTHROUGH.,03-05NM20 - MILL 5B,Submitted,2015-12-04 08:00,ML Ramonedi,23422781
Unit: 05,[761],274380,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO DO MILL E PA BLOWTHROUGHS,03-05NL - BOILER OIL BURNERS,Submitted,2015-12-04 08:11,ML Ramonedi,23422770
Unit: 05,[761],273763,1,HMDM - HMD MILLS,CALL OUT: S/BY GC HYDRAULIC TO TOP E MILL HYDRAULIC TANK ,03-05NM50 - MILL 5E,Submitted,2015-11-27 17:52,ML Ramonedi,23415540
